name,city,cuisines,cost,online_delivery,rating,votes,value_score
Le Petit Souffle,Makati City,"French, Japanese, Desserts",1100,No,4.8,314,4.363636363636364
Izakaya Kikufuji,Makati City,Japanese,1200,No,4.5,591,3.75
Heat - Edsa Shangri-La,Mandaluyong City,"Seafood, Asian, Filipino, Indian",4000,No,4.4,270,1.1
Ooma,Mandaluyong City,"Japanese, Sushi",1500,No,4.9,365,3.266666666666667
Sambo Kojin,Mandaluyong City,"Japanese, Korean",1500,No,4.8,229,3.1999999999999997
Din Tai Fung,Mandaluyong City,Chinese,1000,No,4.4,336,4.4
Buffet 101,Pasay City,"Asian, European",2000,No,4.0,520,2.0
Vikings,Pasay City,"Seafood, Filipino, Asian, European",2000,No,4.2,677,2.1
Spiral - Sofitel Philippine Plaza Manila,Pasay City,"European, Asian, Indian",6000,No,4.9,621,0.8166666666666668
Locavore,Pasig City,Filipino,1100,No,4.8,532,4.363636363636364
Silantro Fil-Mex,Pasig City,"Filipino, Mexican",800,No,4.9,1070,6.125
Mad Mark's Creamery & Good Eats,Pasig City,"American, Ice Cream, Desserts",900,No,4.2,488,4.666666666666667
Silantro Fil-Mex,Quezon City,"Filipino, Mexican",800,No,4.8,294,6.0
Guevarra's,San Juan City,Filipino,1000,No,4.2,458,4.2
Sodam Korean Restaurant,San Juan City,Korean,700,No,4.3,223,6.142857142857142
Cafe Arabelle,Santa Rosa,"Cafe, American, Italian, Filipino",800,No,3.6,29,4.500000000000001
Nonna's Pasta & Pizzeria,Santa Rosa,"Italian, Pizza",850,No,4.0,72,4.705882352941176
Balay Dako,Tagaytay City,Filipino,1200,No,4.5,211,3.75
Hobing Korean Dessert Cafe,Taguig City,"Cafe, Korean, Desserts",600,No,4.5,118,7.5
Wildflour Cafe + Bakery,Taguig City,"Cafe, Bakery, American, Italian",1500,No,4.4,392,2.9333333333333336
NIU by Vikings,Taguig City,"Seafood, American, Mediterranean, Japanese",3000,No,4.7,535,1.5666666666666667
The Food Hall by Todd English,Taguig City,"American, Asian, Italian, Seafood",1800,No,4.5,618,2.5
Chez Michou,Brasí_lia,"Fast Food, French",55,No,3.0,6,54.54545454545454
Cafí© Daniel Briand,Brasí_lia,Cafe,30,No,3.8,9,126.66666666666664
Casa do Biscoito Mineiro,Brasí_lia,Bakery,45,No,3.7,11,82.22222222222223
Maori,Brasí_lia,Brazilian,60,No,3.8,11,63.33333333333332
Pizza íæ Bessa,Brasí_lia,Pizza,50,No,3.2,11,64.0
Sushi Loko,Brasí_lia,Japanese,80,No,3.1,10,38.75
Beirute,Brasí_lia,Arabian,90,No,3.7,8,41.111111111111114
New Koto,Brasí_lia,Japanese,200,No,3.7,5,18.500000000000004
Villa Tevere,Brasí_lia,Italian,150,No,4.1,12,27.333333333333332
Rovereto,Brasí_lia,Pizza,100,No,3.1,9,31.0
Buena Carne,Brasí_lia,"Bar Food, Brazilian",60,No,3.6,9,60.00000000000001
Taco Pep,Brasí_lia,"Mexican, Grill",100,No,4.3,29,43.0
Coco Bambu,Brasí_lia,International,230,No,4.2,17,18.260869565217394
Taypíç,Brasí_lia,"Peruvian, Latin American",100,No,3.6,5,36.00000000000001
Outback Steakhouse,Brasí_lia,"American, Grill",150,No,4.0,10,26.666666666666668
Manzuíç,Brasí_lia,Seafood,240,No,3.2,6,13.333333333333334
Coco Bambu,Brasí_lia,International,230,No,4.9,30,21.304347826086957
Gero,Brasí_lia,Italian,350,No,3.3,8,9.428571428571429
Brazilian American Burgers,Brasí_lia,"American, Burger",50,No,3.6,9,72.00000000000001
Pesqueiro Eco Gourmet,Rio de Janeiro,"Seafood, Bar Food, Brazilian",140,No,4.0,7,28.57142857142857
Confeitaria Colombo,Rio de Janeiro,"Desserts, Cafe",100,No,4.8,29,48.0
Bibi,Rio de Janeiro,"Juices, Healthy Food",60,No,4.7,24,78.33333333333334
Cervantes,Rio de Janeiro,"Beverages, Bar Food, Fast Food",90,No,4.5,29,50.0
Amir,Rio de Janeiro,Lebanese,170,No,4.2,11,24.705882352941178
TT Burger,Rio de Janeiro,Burger,60,No,4.8,19,80.0
Braseiro da Gíçvea,Rio de Janeiro,"Brazilian, Bar Food",100,No,4.9,40,49.0
Balada Mix,Rio de Janeiro,"Brazilian, Healthy Food, Juices, Pizza",90,No,4.6,21,51.11111111111111
Garota de Ipanema,Rio de Janeiro,"Brazilian, Bar Food",120,No,4.9,49,40.83333333333334
Zazíç BistríÇ Tropical,Rio de Janeiro,Brazilian,170,No,4.6,21,27.058823529411764
Filí© de Ouro,Rio de Janeiro,Brazilian,90,No,4.3,14,47.77777777777777
D.O.C Ristorante,Rio de Janeiro,Italian,150,No,4.0,5,26.666666666666668
Sushi Leblon,Rio de Janeiro,Japanese,250,No,4.6,25,18.4
Talho Capixaba,Rio de Janeiro,"Bakery, Sandwich, Brazilian",120,No,4.4,13,36.666666666666664
Leme Light,Rio de Janeiro,Brazilian,40,No,4.2,7,105.00000000000001
Shirley,Rio de Janeiro,"Brazilian, Seafood",250,No,4.2,8,16.8
Aprazí_vel,Rio de Janeiro,Brazilian,300,No,4.7,44,15.666666666666666
Aconchego Carioca,Rio de Janeiro,"Brazilian, Bar Food",85,No,4.6,24,54.11764705882353
Garota de Ipanema,Rio de Janeiro,"Brazilian, Bar Food",80,No,4.3,10,53.75
Cantina Famiglia Mancini,Sí£o Paulo,"Italian, Pizza",250,No,4.5,49,18.0
Templo da Carne - Marcos Bassi,Sí£o Paulo,"Steak, BBQ",250,No,4.4,17,17.6
Gopala Hari,Sí£o Paulo,Indian,70,No,3.1,5,44.28571428571429
Jiquitaia,Sí£o Paulo,Brazilian,100,No,4.1,15,40.99999999999999
Skye - Hotel Unique,Sí£o Paulo,"Beverages, International",300,No,4.8,59,16.0
Les 3 Brasseurs,Sí£o Paulo,"French, Brazilian, Beverages",120,No,4.6,30,38.33333333333333
Red Steak & Burger,Sí£o Paulo,"Brazilian, Grill",75,No,3.9,5,52.0
Paris 6 Classique,Sí£o Paulo,French,200,No,3.4,73,17.0
Kawa Sushi,Sí£o Paulo,"Sushi, Japanese",120,No,3.5,9,29.166666666666668
A Figueira Rubaiyat,Sí£o Paulo,"BBQ, Grill, Brazilian",300,No,4.3,39,14.333333333333334
Kinoshita,Sí£o Paulo,Sushi,230,No,3.9,12,16.956521739130437
Meats,Sí£o Paulo,"Gourmet Fast Food, Burger",120,No,4.3,68,35.833333333333336
Paribar,Sí£o Paulo,"Brazilian, Italian",150,No,4.3,46,28.666666666666668
Terraí_o Itíçlia,Sí£o Paulo,Italian,400,No,4.4,37,11.000000000000002
Esquina Mocotí_,Sí£o Paulo,"Brazilian, North Eastern",100,No,4.4,22,44.00000000000001
Veloso,Sí£o Paulo,"Brazilian, Bar Food, Beverages",70,No,4.6,58,65.71428571428571
Sainte Marie Gastronomia,Sí£o Paulo,"Lebanese, Arabian",120,No,4.1,11,34.166666666666664
